2009  12  0  0  0 350
 -79.957   0.1953125000  0.75430     2591.00000 0.7090       2.910600       0.291044
 -95.035   0.1953125000  0.77057     3025.00000 0.8127       1.873368       0.187337
 -80.251   0.1999511719  0.75849     2591.00000 0.7026       2.974320       0.297409
 -95.630   0.1999511719  0.77295     3025.00000 0.8055       1.944798       0.194480
 -85.119   0.2045898438  0.75953     2590.50000 0.7069       2.930987       0.293077
 -80.542   0.2045898438  0.82261     2591.00000 0.6968       3.032347       0.303204
 -96.134   0.2045898438  0.82240     3025.00000 0.7981       2.018587       0.201859
 -85.583   0.2092285156  0.76289     2590.50000 0.7010       2.989913       0.298962
 -96.561   0.2092285156  0.82597     3025.00000 0.7906       2.093546       0.209354
 -86.063   0.2138671875  0.82849     2590.50000 0.6957       3.043409       0.304304
 -96.928   0.2138671875  0.86195     3025.00000 0.7832       2.167761       0.216775
 -86.560   0.2185058594  0.83095     2590.50000 0.6910       3.090779       0.309033
   5.863   0.2277832031  0.76357      239.50000 0.9844     641.838928      64.176262
 -69.621   0.2370605469  0.84045     2498.00000 0.9502       0.498141       0.049813
 -68.674   0.2416992188  0.80958     2498.00000 0.9506       0.493730       0.049372
 -67.720   0.2463378906  0.77698     2498.00000 0.9510       0.489642       0.048963
 -69.116   0.2463378906  0.78554     2498.50000 0.9542       0.458223       0.045821
  22.428   0.3483886719  0.83655     1593.50000 0.8344       1.655874       0.165587
  22.577   0.3530273438  0.82707     1593.50000 0.8342       1.658199       0.165819
  22.729   0.3576660156  0.81702     1593.50000 0.8339       1.661083       0.166107
  22.885   0.3623046875  0.80636     1593.50000 0.8336       1.664516       0.166449
  23.044   0.3669433594  0.79507     1593.50000 0.8332       1.668494       0.166846
  23.206   0.3715820312  0.78311     1593.50000 0.8327       1.673010       0.167297
  23.371   0.3762207031  0.77044     1593.50000 0.8322       1.678058       0.167800
  70.970   0.3808593750  0.87787      874.50000 0.8600       1.399957       0.139994
  23.540   0.3808593750  0.81896     1593.50000 0.8316       1.683626       0.168355
  70.864   0.3854980469  0.88100      874.50000 0.8556       1.443938       0.144393
  23.712   0.3854980469  0.80550     1593.50000 0.8310       1.689708       0.168962
  70.752   0.3901367188  0.88377      874.50000 0.8511       1.488845       0.148884
  23.887   0.3901367188  0.79107     1593.50000 0.8304       1.696293       0.169618
  70.635   0.3947753906  0.88611      874.50000 0.8465       1.534700       0.153469
  24.065   0.3947753906  0.77565     1593.50000 0.8297       1.703372       0.170324
  70.515   0.3994140625  0.88792      874.50000 0.8419       1.581486       0.158148
  24.245   0.3994140625  0.75924     1593.50000 0.8289       1.710940       0.171079
-121.942   0.4179687500  0.77641      876.00000 0.7730       2.270241       0.227012
-121.893   0.4226074219  0.78539      876.00000 0.7675       2.325552       0.232543
-117.623   0.4226074219  0.75539     1810.00000 0.9551       0.449435       0.044938
-121.845   0.4272460938  0.79400      876.00000 0.7618       2.381942       0.238182
-121.800   0.4318847656  0.80219      876.00000 0.7561       2.439398       0.243928
-121.756   0.4365234375  0.80996      876.00000 0.7502       2.497912       0.249780
-121.713   0.4411621094  0.81729      876.00000 0.7443       2.557478       0.255736
  58.103   0.4411621094  0.76346     3246.50000 0.9137       0.863211       0.086317
-121.672   0.4458007812  0.82420      876.00000 0.7382       2.618096       0.261798
  58.449   0.4458007812  0.78323     3246.50000 0.9100       0.899804       0.089977
-121.633   0.4504394531  0.83070      876.00000 0.7320       2.679758       0.267964
  58.779   0.4504394531  0.80161     3246.50000 0.9063       0.936961       0.093692
-121.595   0.4550781250  0.83681      876.00000 0.7258       2.742447       0.274233
  59.093   0.4550781250  0.81831     3246.50000 0.9025       0.974687       0.097465
-121.559   0.4597167969  0.84254      876.00000 0.7194       2.806181       0.280607
  59.393   0.4597167969  0.83328     3246.50000 0.8987       1.012985       0.101295
-121.524   0.4643554688  0.84673      876.00000 0.7129       2.870936       0.287082
  59.679   0.4643554688  0.89553     3246.50000 0.8948       1.051861       0.105182
  59.954   0.4689941406  0.90109     3246.50000 0.8909       1.091316       0.109128
  31.204   0.4736328125  0.75032     1898.00000 0.8451       1.548695       0.154861
  60.217   0.4736328125  0.90620     3246.50000 0.8869       1.131357       0.113132
  31.070   0.4782714844  0.75159     1898.00000 0.8423       1.577335       0.157726
  60.469   0.4782714844  0.91090     3246.50000 0.8828       1.171983       0.117195
  30.940   0.4829101562  0.75258     1898.00000 0.8394       1.606477       0.160640
  60.711   0.4829101562  0.91525     3246.50000 0.8787       1.213200       0.121316
  30.813   0.4875488281  0.75331     1898.00000 0.8364       1.636116       0.163605
  60.944   0.4875488281  0.91927     3246.50000 0.8745       1.255008       0.125497
  30.689   0.4921875000  0.75380     1898.00000 0.8334       1.666249       0.166618
  61.168   0.4921875000  0.92301     3246.50000 0.8703       1.297409       0.129737
  30.569   0.4968261719  0.75408     1898.00000 0.8303       1.696866       0.169681
  61.384   0.4968261719  0.92648     3246.50000 0.8660       1.340405       0.134037
  30.451   0.5014648438  0.75416     1898.00000 0.8272       1.727966       0.172791
  61.592   0.5014648438  0.92972     3246.50000 0.8616       1.383997       0.138396
2009  12 11 19 10 350
-120.999   0.1628417969  0.75152     1160.50000 0.9571       0.428880       0.042885
-119.862   0.1674804688  0.76656     1160.50000 0.9542       0.457620       0.045759
 -88.477   0.1674804688  0.76451     1165.00000 0.8433       1.566719       0.156650
 -86.375   0.1674804688  0.75758     1165.50000 0.8508       1.491720       0.149171
-112.367   0.1721191406  0.78114     1160.00000 0.9460       0.539568       0.053952
-119.369   0.1721191406  0.77879     1160.50000 0.9525       0.474899       0.047487
 -89.721   0.1721191406  0.78327     1165.00000 0.8398       1.601679       0.160151
 -88.274   0.1721191406  0.77237     1165.50000 0.8437       1.562558       0.156255
-112.619   0.1767578125  0.79687     1160.00000 0.9461       0.538938       0.053889
-119.304   0.1767578125  0.79676     1160.50000 0.9517       0.483369       0.048334
 -89.829   0.1767578125  0.78419     1165.50000 0.8379       1.620816       0.162079
-112.970   0.1813964844  0.79666     1160.00000 0.9467       0.533495       0.053345
-119.551   0.1813964844  0.79743     1160.50000 0.9515       0.485130       0.048510
-113.407   0.1860351562  0.81291     1160.00000 0.9475       0.524565       0.052452
-120.047   0.1860351562  0.81920     1160.50000 0.9518       0.481850       0.048182
